(-12.00,-6.00,-1.20)(-12.00,-5.00,-0.98)(-12.00,-4.00,-0.83)(-12.00,-3.00,-0.77)(-12.00,-2.00,-0.78)(-12.00,-1.00,-0.78)(-12.00,0.00,-0.30)(-12.00,1.00,-0.30)(-12.00,2.00,-0.13)(-12.00,3.00,0.00)(-12.00,4.00,0.06)(-12.00,5.00,0.13)(-12.00,6.00,0.30)

(-11.00,-6.00,-1.19)(-11.00,-5.00,-0.98)(-11.00,-4.00,-0.83)(-11.00,-3.00,-0.77)(-11.00,-2.00,-0.75)(-11.00,-1.00,-0.75)(-11.00,0.00,-0.30)(-11.00,1.00,-0.20)(-11.00,2.00,-0.08)(-11.00,3.00,0.03)(-11.00,4.00,0.18)(-11.00,5.00,0.28)(-11.00,6.00,0.51)

(-10.00,-6.00,-1.18)(-10.00,-5.00,-0.98)(-10.00,-4.00,-0.83)(-10.00,-3.00,-0.78)(-10.00,-2.00,-0.72)(-10.00,-1.00,-0.72)(-10.00,0.00,-0.30)(-10.00,1.00,-0.14)(-10.00,2.00,-0.05)(-10.00,3.00,0.05)(-10.00,4.00,0.26)(-10.00,5.00,0.37)(-10.00,6.00,0.61)

(-9.00,-6.00,-1.16)(-9.00,-5.00,-0.96)(-9.00,-4.00,-0.84)(-9.00,-3.00,-0.79)(-9.00,-2.00,-0.70)(-9.00,-1.00,-0.70)(-9.00,0.00,-0.30)(-9.00,1.00,-0.11)(-9.00,2.00,-0.03)(-9.00,3.00,0.08)(-9.00,4.00,0.30)(-9.00,5.00,0.42)(-9.00,6.00,0.66)

(-8.00,-6.00,-1.16)(-8.00,-5.00,-0.96)(-8.00,-4.00,-0.84)(-8.00,-3.00,-0.79)(-8.00,-2.00,-0.66)(-8.00,-1.00,-0.66)(-8.00,0.00,-0.30)(-8.00,1.00,-0.08)(-8.00,2.00,-0.01)(-8.00,3.00,0.11)(-8.00,4.00,0.35)(-8.00,5.00,0.45)(-8.00,6.00,0.70)

(-7.00,-6.00,-1.18)(-7.00,-5.00,-0.98)(-7.00,-4.00,-0.83)(-7.00,-3.00,-0.78)(-7.00,-2.00,-0.63)(-7.00,-1.00,-0.61)(-7.00,0.00,-0.30)(-7.00,1.00,-0.05)(-7.00,2.00,0.01)(-7.00,3.00,0.15)(-7.00,4.00,0.41)(-7.00,5.00,0.50)(-7.00,6.00,0.73)

